customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C1398-1225,Female,0,Yes,No,43,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,111.53,4796.4,No
C1399-3694,Female,0,No,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,37.34,341.99,Yes
C1400-8690,Female,0,Yes,Yes,34,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,No,One year,No,Bank transfer (automatic),101.53,3484.09,No
C1401-3172,Male,1,No,No,22,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,No,Mailed check,119.41,2624.1,No
C1402-3696,Female,0,Yes,No,18,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,116.84,2070.2,Yes
C1403-3902,Female,0,No,No,37,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,120.27,4453.86,No
C1404-2596,Female,0,No,No,29,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,97.64,2822.68,No
C1405-2398,Male,0,Yes,No,36,Yes,No,DSL,No,No,No,No,No,Yes,Two year,No,Bank transfer (automatic),78.05,2805.15,No
C1406-4122,Female,0,No,Yes,72,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),96.87,6962.34,No
C1407-8867,Male,1,Yes,No,21,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),110.92,2301.58,No
C1408-1013,Male,0,Yes,Yes,6,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),114.28,696.99,Yes
C1409-3548,Male,0,No,No,10,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,97.0,995.71,Yes
C1410-1545,Male,1,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Electronic check,102.25,7370.29,No
C1411-6052,Male,0,Yes,Yes,18,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,84.57,1508.39,Yes
C1412-3255,Female,0,Yes,No,42,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),91.48,3841.29,No
C1413-8126,Male,1,Yes,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,36.21,913.05,No
C1414-6264,Male,1,No,No,8,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,107.04,868.01,No
C1415-8053,Female,0,No,No,29,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,113.64,3296.72,No
C1416-6713,Female,0,Yes,No,12,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,92.78,1092.87,No
C1417-4945,Male,1,No,No,14,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),97.1,1361.42,No
C1418-8747,Male,0,Yes,Yes,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,22.05,522.27,No
C1419-5285,Male,0,No,No,4,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),78.32,326.18,No
C1420-9548,Female,1,No,No,42,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,105.46,4428.11,Yes
C1421-9951,Female,0,No,No,16,Yes,No,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,93.6,1519.53,No
C1422-6300,Male,0,Yes,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,94.28,4360.73,Yes
C1423-7070,Female,0,Yes,No,45,No,No phone service,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,82.96,3703.96,No
C1424-3300,Male,0,Yes,No,21,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,85.19,1796.64,No
C1425-8330,Male,0,No,No,27,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,124.21,3379.24,No
C1426-7043,Female,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Electronic check,102.6,3506.54,No
C1427-9122,Male,0,Yes,No,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),44.31,714.88,Yes
C1428-3402,Female,0,Yes,No,3,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),26.25,110.83,No
C1429-8087,Female,0,Yes,Yes,29,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),107.23,3085.02,Yes
C1430-5232,Female,0,No,No,55,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,101.07,5528.42,No
C1431-2666,Male,0,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,44.94,510.38,No
C1432-2540,Male,0,Yes,No,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),29.96,1447.62,No
C1433-6058,Female,0,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),21.74,135.89,No
C1434-3874,Male,0,Yes,Yes,19,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),114.28,2158.07,No
C1435-1916,Male,0,No,Yes,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),51.2,1116.68,Yes
C1436-4843,Male,0,Yes,Yes,24,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),109.26,2642.45,No
C1437-6875,Male,0,Yes,Yes,10,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),99.68,1008.81,Yes
C1438-3870,Male,0,No,No,7,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,96.7,654.44,No
C1439-9597,Male,0,No,No,20,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),101.8,2022.87,No
C1440-8015,Male,0,Yes,Yes,38,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Two year,No,Electronic check,103.4,3902.27,Yes
C1441-5614,Female,0,No,No,12,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,88.65,1051.54,No
C1442-9410,Female,0,No,No,22,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,126.51,2790.34,No
C1443-4896,Female,1,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,55.08,3960.6,No
C1444-2256,Male,0,No,No,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),45.55,1392.37,Yes
C1445-1322,Male,0,No,No,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,51.16,1038.2,No
C1446-9441,Male,0,Yes,No,23,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,82.78,1904.57,No
C1447-9637,Female,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),122.19,8781.42,No
C1448-7652,Female,1,No,No,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),31.83,1267.01,Yes
C1449-1926,Female,0,Yes,Yes,12,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,117.79,1419.06,No
C1450-3642,Male,1,No,No,42,Yes,No,DSL,No,No,Yes,No,No,Yes,One year,Yes,Mailed check,91.13,3826.41,No
C1451-1369,Female,0,Yes,Yes,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,46.48,425.46,No
C1452-1461,Female,0,No,No,27,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),105.84,2832.81,No
C1453-3214,Male,0,No,Yes,62,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),118.7,7333.91,No
C1454-6148,Female,1,Yes,No,27,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,One year,No,Mailed check,58.98,1579.49,Yes
C1455-1589,Male,0,No,Yes,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,49.43,410.1,No
C1456-9860,Male,0,Yes,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),41.38,1023.63,No
C1457-5095,Female,0,No,No,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),39.02,2412.54,No
C1458-3374,Female,0,No,No,12,Yes,No,DSL,No,No,Yes,No,Yes,Yes,One year,No,Electronic check,94.84,1171.87,No
C1459-5644,Female,0,Yes,Yes,42,Yes,Yes,DSL,No,No,Yes,No,No,No,Two year,No,Bank transfer (automatic),83.1,3462.51,No
C1460-8110,Female,0,No,No,64,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,18.28,1184.96,No
C1461-3812,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,42.01,1408.36,No
C1462-1427,Female,0,No,No,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,44.96,1184.92,No
C1463-1458,Female,0,No,No,13,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),100.03,1287.47,Yes
C1464-8667,Male,0,No,No,14,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),92.26,1289.1,No
C1465-2004,Female,1,Yes,Yes,20,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,No,Electronic check,122.94,2443.35,No
C1466-6719,Male,1,No,No,42,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,67.06,2792.74,No
C1467-4460,Male,0,No,No,72,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,115.52,8298.45,Yes
C1468-7996,Female,0,No,No,12,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.73,953.87,No
C1469-1544,Male,0,No,No,38,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Credit card (automatic),94.57,3584.41,No
C1470-9079,Female,1,No,No,54,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,136.12,7330.05,No
C1471-7283,Male,0,Yes,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),41.02,1032.18,No
C1472-5043,Female,0,Yes,No,24,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,85.69,2023.63,No
C1473-2862,Male,1,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,43.24,218.52,No
C1474-9793,Male,0,Yes,No,29,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),85.95,2483.41,No
C1475-3718,Male,0,No,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),28.08,654.72,Yes
C1476-5414,Female,0,No,Yes,18,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),94.59,1726.27,No
C1477-4546,Male,0,No,No,33,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),88.1,2896.86,No
C1478-3074,Male,0,No,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),50.17,445.31,No
C1479-4749,Male,1,No,No,11,Yes,No,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Electronic check,61.36,684.11,No
C1480-2363,Male,0,No,No,29,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),105.33,3055.21,No
C1481-1014,Female,0,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,45.4,3281.49,Yes
C1482-3609,Female,0,Yes,Yes,21,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,124.79,2606.68,Yes
C1483-2008,Male,0,Yes,Yes,25,No,No phone service,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),84.16,2113.03,No
C1484-4732,Male,0,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.92,2500.31,No
C1485-8764,Male,0,No,No,9,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,81.43,738.28,Yes
C1486-2462,Male,0,Yes,No,19,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),113.87,2155.53,Yes
C1487-1011,Male,0,No,No,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),52.82,1472.91,No
C1488-1999,Male,0,No,Yes,28,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),116.91,3256.45,No
C1489-5572,Female,0,Yes,Yes,35,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,65.8,2311.98,No
C1490-3473,Female,1,No,Yes,9,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,97.99,882.38,Yes
C1491-5405,Female,0,Yes,No,14,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,109.58,1534.61,Yes
C1492-1263,Male,0,No,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),48.88,179.5,Yes
C1493-3997,Male,0,Yes,Yes,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,42.91,2840.33,No
C1494-4690,Male,1,Yes,Yes,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),41.79,690.23,No
C1495-4881,Female,0,Yes,Yes,30,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,No,Mailed check,112.7,3391.36,No
C1496-5959,Male,0,No,No,24,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,86.36,2045.11,No
C1497-8024,Male,0,Yes,Yes,1,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,87.49,119.53,Yes
C1498-5204,Male,0,No,No,7,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),89.6,674.56,No
C1499-8569,Female,0,No,No,23,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),93.05,2155.15,Yes
C1500-5767,Female,1,Yes,Yes,38,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,95.94,3644.67,Yes
C1501-3342,Female,0,Yes,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),37.88,1312.18,No
C1502-3060,Male,0,Yes,No,6,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),127.87,751.71,No
C1503-3902,Male,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,111.7,1000.97,Yes
C1504-6376,Male,0,No,No,33,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),102.76,3402.28,No
C1505-3182,Female,0,Yes,No,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,54.04,1890.69,No
C1506-9226,Female,0,No,No,5,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,74.57,425.96,No
C1507-5318,Male,0,No,No,33,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Mailed check,111.73,3680.0,No
C1508-8768,Female,0,No,No,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,50.88,1164.21,No
C1509-7148,Male,0,Yes,Yes,19,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,121.5,2306.0,Yes
C1510-3999,Female,0,Yes,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,47.56,3428.96,No
C1511-3054,Male,0,Yes,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),49.2,1020.91,No
C1512-7694,Male,0,No,No,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),114.77,1736.05,No
C1513-3976,Male,0,No,No,44,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),94.06,4110.25,No
C1514-3221,Female,0,Yes,No,43,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Mailed check,72.54,3142.66,No
C1515-9372,Male,0,Yes,No,63,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),113.55,7156.78,No
C1516-5343,Male,1,No,No,41,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),94.07,3849.13,No
C1517-1437,Male,0,Yes,No,40,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,120.97,4860.41,No
C1518-5452,Female,0,No,Yes,25,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Mailed check,112.53,2820.66,No
C1519-5146,Male,1,Yes,Yes,9,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.43,943.53,Yes
C1520-8774,Female,0,Yes,Yes,36,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),125.01,4490.1,No
C1521-7403,Female,0,No,Yes,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),45.01,350.24,No
C1522-2722,Male,0,Yes,Yes,25,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),133.33,3341.92,No
C1523-2353,Male,1,No,No,24,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),98.28,2368.09,No
C1524-6431,Female,0,Yes,No,25,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),129.18,3222.92,No
C1525-1426,Female,0,Yes,No,3,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),109.11,329.72,No
C1526-3870,Male,0,No,No,17,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,76.84,1360.69,No
C1527-2243,Male,0,Yes,Yes,72,No,No phone service,DSL,No,No,No,No,No,No,Two year,No,Credit card (automatic),38.66,2765.53,No
C1528-1185,Female,1,No,No,27,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Electronic check,71.58,1928.36,No
C1529-9268,Male,0,No,No,52,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,95.78,4990.5,No
C1530-1808,Male,0,No,No,33,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),108.7,3609.86,No
C1531-1083,Male,1,Yes,No,72,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),62.59,4505.0,No
C1532-9395,Female,0,Yes,No,33,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),35.84,1152.07,No
C1533-2694,Male,0,Yes,No,27,Yes,Yes,DSL,No,No,No,No,Yes,Yes,One year,No,Electronic check,89.7,2447.33,No
C1534-8348,Male,0,No,No,6,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,No,Electronic check,111.71,690.48,No
C1535-1281,Male,0,Yes,Yes,7,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),92.43,643.09,No
C1536-2381,Male,0,Yes,No,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),37.25,529.22,No
C1537-1995,Female,0,No,No,21,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),94.92,2022.63,Yes
C1538-7355,Female,0,Yes,No,8,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,One year,No,Electronic check,111.96,897.45,Yes
C1539-6580,Female,0,No,No,27,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,101.21,2739.32,No
C1540-5279,Female,0,Yes,No,26,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),127.43,3317.95,No
C1541-3174,Female,1,No,No,72,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,66.65,4785.28,Yes
C1542-1799,Female,0,No,No,72,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.35,6427.13,Yes
C1543-6122,Male,0,Yes,Yes,44,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,92.63,4095.02,No
C1544-3076,Male,0,No,No,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),37.4,1672.95,No
C1545-6311,Male,0,No,No,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),41.07,2398.82,No
C1546-7186,Male,0,Yes,Yes,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,39.23,1292.02,No
C1547-8644,Female,0,No,No,61,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,112.63,6864.68,No
C1548-5445,Female,0,No,No,6,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.93,630.48,Yes
C1549-1042,Female,1,No,No,49,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,54.92,2691.74,Yes
C1550-3525,Female,0,No,Yes,8,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,82.71,638.26,Yes
C1551-8679,Female,0,Yes,No,9,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),79.7,719.45,No
C1552-5798,Male,0,Yes,Yes,58,Yes,No,DSL,No,Yes,No,No,No,No,Two year,Yes,Mailed check,74.44,4284.56,No
C1553-6571,Male,0,Yes,No,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,57.23,762.56,Yes
C1554-5119,Male,0,Yes,Yes,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,44.84,420.64,No
C1555-2464,Female,0,Yes,No,35,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),69.42,2417.16,Yes
C1556-9069,Male,0,Yes,No,12,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.25,249.77,No
C1557-7955,Male,0,Yes,Yes,10,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Electronic check,107.81,1074.13,No
C1558-9955,Female,0,No,No,5,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),114.13,583.82,Yes
C1559-8698,Female,0,Yes,Yes,16,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,87.56,1395.35,No
C1560-3619,Male,1,No,No,44,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),114.11,5029.17,No
C1561-3288,Female,0,No,No,49,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,104.2,5090.97,No
C1562-3236,Male,0,No,Yes,20,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,82.79,1652.09,No
C1563-9268,Female,0,Yes,No,72,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,91.27,6548.09,No
C1564-6011,Female,0,No,No,37,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),86.31,3197.26,Yes
C1565-5089,Male,0,No,No,59,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,No,Mailed check,115.03,6800.64,No
C1566-9713,Female,0,No,No,14,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,72.76,1020.2,No
C1567-6430,Female,0,Yes,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),32.76,594.25,No
C1568-9183,Female,0,Yes,Yes,21,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),95.37,1984.34,No
C1569-9860,Female,0,No,No,18,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,93.89,1707.73,No
C1570-1714,Male,0,Yes,No,1,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,82.2,97.31,No
C1571-4253,Female,0,No,No,26,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,84.63,2211.55,No
C1572-7606,Female,0,No,No,33,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,91.96,3013.59,No
